Wvlgth Direct_normal_irradiance Difuse_horizn_irradiance Dir_norml_PAR_photn_flux
.5890E+03 .1020E+01 .1241E+00 .5024E+01
.5900E+03 .1088E+01 .1316E+00 .5364E+01
.5910E+03 .1171E+01 .1407E+00 .5784E+01
.5920E+03 .1143E+01 .1369E+00 .5658E+01
.5930E+03 .1166E+01 .1386E+00 .5779E+01
.5940E+03 .1159E+01 .1371E+00 .5756E+01
.5950E+03 .1141E+01 .1344E+00 .5676E+01
.5960E+03 .1186E+01 .1385E+00 .5910E+01
.5970E+03 .1188E+01 .1381E+00 .5929E+01
.5980E+03 .1178E+01 .1360E+00 .5887E+01
.5990E+03 .1180E+01 .1355E+00 .5909E+01
.6000E+03 .1195E+01 .1364E+00 .5996E+01
.6010E+03 .1184E+01 .1344E+00 .5947E+01
.6020E+03 .1166E+01 .1318E+00 .5870E+01
.6030E+03 .1192E+01 .1342E+00 .6010E+01
.6040E+03 .1214E+01 .1360E+00 .6129E+01
.6050E+03 .1213E+01 .1354E+00 .6134E+01
.6060E+03 .1209E+01 .1345E+00 .6125E+01
.6070E+03 .1219E+01 .1351E+00 .6183E+01
.6080E+03 .1216E+01 .1344E+00 .6183E+01
.6090E+03 .1209E+01 .1331E+00 .6154E+01
.6100E+03 .1205E+01 .1322E+00 .6143E+01
.6110E+03 .1200E+01 .1313E+00 .6127E+01
.6120E+03 .1218E+01 .1330E+00 .6234E+01
.6130E+03 .1202E+01 .1308E+00 .6159E+01
.6140E+03 .1167E+01 .1265E+00 .5988E+01
.6150E+03 .1211E+01 .1309E+00 .6225E+01
.6160E+03 .1180E+01 .1272E+00 .6077E+01
.6170E+03 .1166E+01 .1253E+00 .6013E+01
.6180E+03 .1211E+01 .1298E+00 .6255E+01
.6190E+03 .1217E+01 .1300E+00 .6297E+01
.6200E+03 .1217E+01 .1297E+00 .6309E+01
.6210E+03 .1221E+01 .1297E+00 .6338E+01
.6220E+03 .1172E+01 .1243E+00 .6096E+01
.6230E+03 .1159E+01 .1227E+00 .6038E+01
.6240E+03 .1159E+01 .1221E+00 .6044E+01
.6250E+03 .1155E+01 .1212E+00 .6034E+01
.6260E+03 .1155E+01 .1209E+00 .6042E+01
.6270E+03 .1186E+01 .1239E+00 .6218E+01
.6280E+03 .1095E+01 .1149E+00 .5750E+01
.6290E+03 .1153E+01 .1199E+00 .6065E+01
.6300E+03 .1138E+01 .1180E+00 .5993E+01
.6310E+03 .1168E+01 .1203E+00 .6159E+01
.6320E+03 .1127E+01 .1158E+00 .5955E+01
.6330E+03 .1204E+01 .1232E+00 .6373E+01
.6340E+03 .1189E+01 .1212E+00 .6303E+01
.6350E+03 .1206E+01 .1225E+00 .6400E+01
.6360E+03 .1180E+01 .1195E+00 .6273E+01
.6370E+03 .1221E+01 .1233E+00 .6504E+01
.6380E+03 .1232E+01 .1240E+00 .6570E+01
.6390E+03 .1229E+01 .1233E+00 .6563E+01
.6400E+03 .1205E+01 .1205E+00 .6447E+01
.6410E+03 .1207E+01 .1203E+00 .6468E+01
.6420E+03 .1211E+01 .1204E+00 .6499E+01
.6430E+03 .1224E+01 .1213E+00 .6578E+01
.6440E+03 .1220E+01 .1206E+00 .6567E+01
.6450E+03 .1229E+01 .1211E+00 .6624E+01
.6460E+03 .1191E+01 .1171E+00 .6429E+01
.6470E+03 .1178E+01 .1158E+00 .6371E+01
.6480E+03 .1167E+01 .1143E+00 .6320E+01
.6490E+03 .1130E+01 .1104E+00 .6132E+01
.6500E+03 .1146E+01 .1114E+00 .6229E+01
.6510E+03 .1221E+01 .1182E+00 .6643E+01
.6520E+03 .1162E+01 .1124E+00 .6333E+01
.6530E+03 .1210E+01 .1165E+00 .6605E+01
.6540E+03 .1198E+01 .1149E+00 .6548E+01
.6550E+03 .1137E+01 .1089E+00 .6228E+01
.6560E+03 .1002E+01 .9562E-01 .5495E+01
.6570E+03 .1048E+01 .9976E-01 .5757E+01
.6580E+03 .1175E+01 .1114E+00 .6461E+01
.6590E+03 .1179E+01 .1116E+00 .6495E+01
.6600E+03 .1184E+01 .1118E+00 .6535E+01
.6610E+03 .1175E+01 .1107E+00 .6492E+01
.6620E+03 .1160E+01 .1092E+00 .6417E+01
.6630E+03 .1165E+01 .1093E+00 .6457E+01
.6640E+03 .1183E+01 .1105E+00 .6566E+01
.6650E+03 .1209E+01 .1125E+00 .6721E+01
.6660E+03 .1212E+01 .1123E+00 .6746E+01
.6670E+03 .1206E+01 .1114E+00 .6725E+01
.6680E+03 .1212E+01 .1117E+00 .6769E+01
.6690E+03 .1235E+01 .1134E+00 .6904E+01
.6700E+03 .1219E+01 .1115E+00 .6825E+01
.6710E+03 .1217E+01 .1111E+00 .6827E+01
.6720E+03 .1201E+01 .1094E+00 .6745E+01
.6730E+03 .1212E+01 .1102E+00 .6818E+01
.6740E+03 .1211E+01 .1097E+00 .6822E+01
.6750E+03 .1202E+01 .1086E+00 .6781E+01
.6760E+03 .1216E+01 .1096E+00 .6873E+01
.6770E+03 .1206E+01 .1083E+00 .6823E+01
.6780E+03 .1212E+01 .1087E+00 .6871E+01
.6790E+03 .1203E+01 .1075E+00 .6826E+01
.6800E+03 .1205E+01 .1074E+00 .6850E+01
.6810E+03 .1201E+01 .1067E+00 .6837E+01
.6820E+03 .1207E+01 .1070E+00 .6882E+01
.6830E+03 .1195E+01 .1055E+00 .6821E+01
.6840E+03 .1187E+01 .1046E+00 .6788E+01
.6850E+03 .1189E+01 .1044E+00 .6807E+01
.6860E+03 .1162E+01 .1017E+00 .6662E+01
.6870E+03 .7174E+00 .6605E-01 .4120E+01
.6880E+03 .8842E+00 .7936E-01 .5085E+01
.6890E+03 .8920E+00 .7976E-01 .5137E+01
.6900E+03 .9541E+00 .8448E-01 .5503E+01
.6910E+03 .1017E+01 .8920E-01 .5876E+01
.6920E+03 .1064E+01 .9260E-01 .6157E+01
.6930E+03 .1056E+01 .9167E-01 .6120E+01
.6940E+03 .1045E+01 .9028E-01 .6063E+01
.6950E+03 .1081E+01 .9273E-01 .6280E+01
.6960E+03 .1079E+01 .9228E-01 .6280E+01
.6970E+03 .1158E+01 .9849E-01 .6746E+01
.6980E+03 .1139E+01 .9667E-01 .6648E+01
.6990E+03 .1104E+01 .9364E-01 .6454E+01
.7000E+03 .1096E+01 .9267E-01 .6413E+01
.7010E+03 .1079E+01 .9108E-01 .6320E+01
.7020E+03 .1084E+01 .9122E-01 .6362E+01
.7030E+03 .1091E+01 .9147E-01 .6411E+01
.7040E+03 .1127E+01 .9404E-01 .6630E+01
.7050E+03 .1139E+01 .9475E-01 .6711E+01
.7060E+03 .1136E+01 .9418E-01 .6703E+01
.7070E+03 .1132E+01 .9360E-01 .6692E+01
.7080E+03 .1129E+01 .9303E-01 .6680E+01
